"protein_name","CellType","enriched"
"otud6b","Hepatocyte_2","Hepatocyte-enriched"
"pdp1","Inflammatory_Macrophage","Immune-enriched"
"tp53inp1","Hepatocyte_4","Hepatocyte-enriched"
"cpq","Non-inflammatory_Macrophage","Immune-enriched"
"mtdh","Plasma_Cells","Immune-enriched"
"matn2","Periportal_LSECs","EC-enriched"
"spag1","Hepatocyte_6","Hepatocyte-enriched"
"rrm2b","Non-inflammatory_Macrophage","Immune-enriched"
"cthrc1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"angpt1","Portal_endothelial_Cells","EC-enriched"
"ebag9","Hepatocyte_6","Hepatocyte-enriched"
"tnfrsf11b","Hepatic_Stellate_Cells","Stellate cells-enriched"
"enpp2","Periportal_LSECs","EC-enriched"
"zhx2","NK-like_Cells","Immune-enriched"
"mtss1","Non-inflammatory_Macrophage","Immune-enriched"
"tg","Hepatocyte_4","Hepatocyte-enriched"
"ndrg1","Portal_endothelial_Cells","EC-enriched"
"st3gal1","Hepatocyte_2","Hepatocyte-enriched"
"ptp4a3","Plasma_Cells","Immune-enriched"
"psca","Cholangiocytes","Cholangiocyte-enriched"
"gpihbp1","Periportal_LSECs","EC-enriched"
"top1mt","Erythroid_Cells","Immune-enriched"
"naprt","Hepatocyte_4","Hepatocyte-enriched"
"eef1d","alpha-beta_T_Cells","Immune-enriched"
"scrib","Erythroid_Cells","Immune-enriched"
"eppk1","Cholangiocytes","Cholangiocyte-enriched"
"oplah","Hepatocyte_4","Hepatocyte-enriched"
"vps28","Erythroid_Cells","Immune-enriched"
"smarca2","Hepatocyte_4","Hepatocyte-enriched"
"rln2","Mature_B_Cells","Immune-enriched"
"rln1","Mature_B_Cells","Immune-enriched"
"cd274","Central_venous_LSECs","EC-enriched"
"pdcd1lg2","Non-inflammatory_Macrophage","Immune-enriched"
"il33","Periportal_LSECs","EC-enriched"
"uhrf2","Erythroid_Cells","Immune-enriched"
"psip1","gamma-delta_T_Cells_2","Immune-enriched"
"tek","Central_venous_LSECs","EC-enriched"
"ddx58","Non-inflammatory_Macrophage","Immune-enriched"
"dnaja1","Hepatocyte_6","Hepatocyte-enriched"
"b4galt1","Hepatocyte_2","Hepatocyte-enriched"
"nfx1","Hepatocyte_3","Hepatocyte-enriched"
"nudt2","Hepatocyte_6","Hepatocyte-enriched"
"ccl27","Periportal_LSECs","EC-enriched"
"ccl19","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ccl21","Hepatic_Stellate_Cells","Stellate cells-enriched"
"stoml2","Hepatocyte_6","Hepatocyte-enriched"
"cd72","Mature_B_Cells","Immune-enriched"
"sit1","alpha-beta_T_Cells","Immune-enriched"
"ca9","Cholangiocytes","Cholangiocyte-enriched"
"creb3","Plasma_Cells","Immune-enriched"
"reck","Portal_endothelial_Cells","EC-enriched"
"clta","Hepatocyte_6","Hepatocyte-enriched"
"gne","Hepatocyte_3","Hepatocyte-enriched"
"grhpr","Hepatocyte_6","Hepatocyte-enriched"
"fxn","Hepatocyte_1","Hepatocyte-enriched"
"mamdc2","Portal_endothelial_Cells","EC-enriched"
"aldh1a1","Hepatocyte_6","Hepatocyte-enriched"
"anxa1","Inflammatory_Macrophage","Immune-enriched"
"gcnt1","Non-inflammatory_Macrophage","Immune-enriched"
"prune2","Central_venous_LSECs","EC-enriched"
"hnrnpk","Erythroid_Cells","Immune-enriched"
"ntrk2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ctsl","Central_venous_LSECs","EC-enriched"
"sema4d","gamma-delta_T_Cells_1","Immune-enriched"
"sptlc1","Plasma_Cells","Immune-enriched"
"ogn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"omd","Portal_endothelial_Cells","EC-enriched"
"aspn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fgd3","alpha-beta_T_Cells","Immune-enriched"
"ninj1","Non-inflammatory_Macrophage","Immune-enriched"
"fbp1","Hepatocyte_6","Hepatocyte-enriched"
"hsd17b3","Hepatocyte_4","Hepatocyte-enriched"
"ctsv","Portal_endothelial_Cells","EC-enriched"
"col15a1","gamma-delta_T_Cells_2","Immune-enriched"
"tgfbr1","Non-inflammatory_Macrophage","Immune-enriched"
"erp44","Plasma_Cells","Immune-enriched"
"rad23b","Hepatocyte_2","Hepatocyte-enriched"
"klf4","Non-inflammatory_Macrophage","Immune-enriched"
"palm2","Hepatocyte_4","Hepatocyte-enriched"
"txn","Hepatocyte_6","Hepatocyte-enriched"
"ptgr1","Hepatocyte_6","Hepatocyte-enriched"
"susd1","Non-inflammatory_Macrophage","Immune-enriched"
"hsdl2","Hepatocyte_6","Hepatocyte-enriched"
"cdc26","Hepatocyte_6","Hepatocyte-enriched"
"ambp","Hepatocyte_4","Hepatocyte-enriched"
"orm1","Hepatocyte_6","Hepatocyte-enriched"
"atp6v1g1","Hepatocyte_6","Hepatocyte-enriched"
"tnfsf8","alpha-beta_T_Cells","Immune-enriched"
"tnc","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pappa","Hepatic_Stellate_Cells","Stellate cells-enriched"
"tlr4","Non-inflammatory_Macrophage","Immune-enriched"
"megf9","Erythroid_Cells","Immune-enriched"
"psmd5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"c5","Hepatocyte_5","Hepatocyte-enriched"
"gsn","Portal_endothelial_Cells","EC-enriched"
"rabepk","Hepatocyte_1","Hepatocyte-enriched"
"angptl2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"stxbp1","Portal_endothelial_Cells","EC-enriched"
"eng","Portal_endothelial_Cells","EC-enriched"
"ak1","Erythroid_Cells","Immune-enriched"
"ptges2","Hepatocyte_5","Hepatocyte-enriched"
"lcn2","Cholangiocytes","Cholangiocyte-enriched"
"dnm1","Hepatocyte_5","Hepatocyte-enriched"
"slc27a4","Hepatocyte_4","Hepatocyte-enriched"
"pkn3","Periportal_LSECs","EC-enriched"
"sh3glb2","Erythroid_Cells","Immune-enriched"
"ncs1","Erythroid_Cells","Immune-enriched"
"hmcn2","Hepatocyte_3","Hepatocyte-enriched"
"ass1","Hepatocyte_3","Hepatocyte-enriched"
"abl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"aif1l","Periportal_LSECs","EC-enriched"
"tsc1","Erythroid_Cells","Immune-enriched"
"abo","Portal_endothelial_Cells","EC-enriched"
"adamts13","Hepatic_Stellate_Cells","Stellate cells-enriched"
"adamtsl2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dbh","Hepatic_Stellate_Cells","Stellate cells-enriched"
"brd3","Erythroid_Cells","Immune-enriched"
"col5a1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fcn2","Central_venous_LSECs","EC-enriched"
"fcn1","Inflammatory_Macrophage","Immune-enriched"
"paep","Plasma_Cells","Immune-enriched"
"camsap1","Mature_B_Cells","Immune-enriched"
"ubac1","Erythroid_Cells","Immune-enriched"
"dnlz","alpha-beta_T_Cells","Immune-enriched"
"notch1","Central_venous_LSECs","EC-enriched"
"egfl7","Central_venous_LSECs","EC-enriched"
"lcn15","Periportal_LSECs","EC-enriched"
"mamdc4","Hepatocyte_4","Hepatocyte-enriched"
"edf1","Hepatocyte_6","Hepatocyte-enriched"
"traf2","gamma-delta_T_Cells_2","Immune-enriched"
"ptgds","Portal_endothelial_Cells","EC-enriched"
"abca2","Erythroid_Cells","Immune-enriched"
"npdc1","Central_venous_LSECs","EC-enriched"
"entpd2","Cholangiocytes","Cholangiocyte-enriched"
"dpp7","Non-inflammatory_Macrophage","Immune-enriched"
"ssna1","Erythroid_Cells","Immune-enriched"
"hras","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cdhr5","Hepatocyte_4","Hepatocyte-enriched"
"sct","Cholangiocytes","Cholangiocyte-enriched"
"eps8l2","Hepatocyte_4","Hepatocyte-enriched"
"taldo1","Erythroid_Cells","Immune-enriched"
"cend1","Plasma_Cells","Immune-enriched"
"ctsd","Hepatocyte_3","Hepatocyte-enriched"
"lsp1","gamma-delta_T_Cells_1","Immune-enriched"
"nap1l4","Erythroid_Cells","Immune-enriched"
"art5","Hepatocyte_4","Hepatocyte-enriched"
"trim21","Hepatocyte_3","Hepatocyte-enriched"
"trim5","Periportal_LSECs","EC-enriched"
"smpd1","Hepatocyte_3","Hepatocyte-enriched"
"tpp1","Non-inflammatory_Macrophage","Immune-enriched"
"cyb5r2","Hepatocyte_4","Hepatocyte-enriched"
"swap70","Mature_B_Cells","Immune-enriched"
"adm","Central_venous_LSECs","EC-enriched"
"ampd3","Erythroid_Cells","Immune-enriched"
"lyve1","Non-inflammatory_Macrophage","Immune-enriched"
"usp47","Hepatocyte_5","Hepatocyte-enriched"
"dkk3","Periportal_LSECs","EC-enriched"
"arntl","Hepatocyte_3","Hepatocyte-enriched"
"spon1","gamma-delta_T_Cells_1","Immune-enriched"
"psma1","Hepatocyte_6","Hepatocyte-enriched"
"calcb","Hepatocyte_3","Hepatocyte-enriched"
"calca","Hepatocyte_3","Hepatocyte-enriched"
"nucb2","Hepatocyte_6","Hepatocyte-enriched"
"ncr3lg1","Central_venous_LSECs","EC-enriched"
"saa4","Hepatocyte_6","Hepatocyte-enriched"
"gas2","Hepatocyte_5","Hepatocyte-enriched"
"kiaa1549l","Periportal_LSECs","EC-enriched"
"cd59","Portal_endothelial_Cells","EC-enriched"
"cat","Erythroid_Cells","Immune-enriched"
"commd9","Inflammatory_Macrophage","Immune-enriched"
"cd82","Mature_B_Cells","Immune-enriched"
"dgkz","NK-like_Cells","Immune-enriched"
"mdk","Periportal_LSECs","EC-enriched"
"arhgap1","Hepatocyte_2","Hepatocyte-enriched"
"f2","Hepatocyte_3","Hepatocyte-enriched"
"psmc3","Hepatocyte_6","Hepatocyte-enriched"
"agbl2","Hepatocyte_5","Hepatocyte-enriched"
"folh1","Hepatocyte_6","Hepatocyte-enriched"
"prg2","Erythroid_Cells","Immune-enriched"
"timm10","Hepatocyte_1","Hepatocyte-enriched"
"ube2l6","NK-like_Cells","Immune-enriched"
"serping1","Hepatocyte_3","Hepatocyte-enriched"
"stx3","Central_venous_LSECs","EC-enriched"
"tcn1","Cholangiocytes","Cholangiocyte-enriched"
"tmem132a","Periportal_LSECs","EC-enriched"
"cd6","alpha-beta_T_Cells","Immune-enriched"
"cd5","alpha-beta_T_Cells","Immune-enriched"
"fen1","Erythroid_Cells","Immune-enriched"
"asrgl1","Periportal_LSECs","EC-enriched"
"ahnak","Inflammatory_Macrophage","Immune-enriched"
"b3gat3","gamma-delta_T_Cells_1","Immune-enriched"
"ubxn1","Inflammatory_Macrophage","Immune-enriched"
"stx5","NK-like_Cells","Immune-enriched"
"stip1","Erythroid_Cells","Immune-enriched"
"vegfb","Non-inflammatory_Macrophage","Immune-enriched"
"prdx5","Hepatocyte_6","Hepatocyte-enriched"
"snx15","Hepatocyte_6","Hepatocyte-enriched"
"ltbp3","Hepatocyte_4","Hepatocyte-enriched"
"sart1","Mature_B_Cells","Immune-enriched"
"cst6","Inflammatory_Macrophage","Immune-enriched"
"cd248","Hepatic_Stellate_Cells","Stellate cells-enriched"
"b4gat1","Portal_endothelial_Cells","EC-enriched"
"ctsf","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ccs","Erythroid_Cells","Immune-enriched"
"sptbn2","Hepatocyte_4","Hepatocyte-enriched"
"ssh3","Erythroid_Cells","Immune-enriched"
"gstp1","NK-like_Cells","Immune-enriched"
"acy3","Hepatocyte_3","Hepatocyte-enriched"
"ighmbp2","Hepatocyte_4","Hepatocyte-enriched"
"fgf19","Cholangiocytes","Cholangiocyte-enriched"
"fadd","alpha-beta_T_Cells","Immune-enriched"
"il18bp","Non-inflammatory_Macrophage","Immune-enriched"
"folr3","Inflammatory_Macrophage","Immune-enriched"
"folr1","Cholangiocytes","Cholangiocyte-enriched"
"folr2","Non-inflammatory_Macrophage","Immune-enriched"
"inppl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"relt","Inflammatory_Macrophage","Immune-enriched"
"rab6a","Portal_endothelial_Cells","EC-enriched"
"ppme1","Erythroid_Cells","Immune-enriched"
"chrdl2","Hepatocyte_3","Hepatocyte-enriched"
"serpinh1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"clns1a","Hepatocyte_6","Hepatocyte-enriched"
"aamdc","Hepatocyte_6","Hepatocyte-enriched"
"prcp","Central_venous_LSECs","EC-enriched"
"crebzf","Hepatocyte_4","Hepatocyte-enriched"
"ctsc","Non-inflammatory_Macrophage","Immune-enriched"
"cwc15","Hepatocyte_6","Hepatocyte-enriched"
"cntn5","Periportal_LSECs","EC-enriched"
"pgr","Central_venous_LSECs","EC-enriched"
"yap1","Hepatocyte_4","Hepatocyte-enriched"
"birc2","Erythroid_Cells","Immune-enriched"
"mmp7","Cholangiocytes","Cholangiocyte-enriched"
"mmp1","Cholangiocytes","Cholangiocyte-enriched"
"mmp3","Cholangiocytes","Cholangiocyte-enriched"
"casp4","NK-like_Cells","Immune-enriched"
"casp1","Inflammatory_Macrophage","Immune-enriched"
"fdx1","Hepatocyte_6","Hepatocyte-enriched"
"layn","Portal_endothelial_Cells","EC-enriched"
"il18","Non-inflammatory_Macrophage","Immune-enriched"
"pts","Hepatocyte_6","Hepatocyte-enriched"
"ncam1","NK-like_Cells","Immune-enriched"
"tmprss5","gamma-delta_T_Cells_2","Immune-enriched"
"usp28","gamma-delta_T_Cells_1","Immune-enriched"
"zbtb16","NK-like_Cells","Immune-enriched"
"rexo2","Erythroid_Cells","Immune-enriched"
"zpr1","Hepatocyte_6","Hepatocyte-enriched"
"apoa4","Hepatocyte_6","Hepatocyte-enriched"
"apoa1","Hepatocyte_6","Hepatocyte-enriched"
"pcsk7","gamma-delta_T_Cells_1","Immune-enriched"
"cep164","Hepatic_Stellate_Cells","Stellate cells-enriched"
"il10ra","Non-inflammatory_Macrophage","Immune-enriched"
"scn4b","Inflammatory_Macrophage","Immune-enriched"
"cd3e","alpha-beta_T_Cells","Immune-enriched"
"cd3d","alpha-beta_T_Cells","Immune-enriched"
"cd3g","alpha-beta_T_Cells","Immune-enriched"
"tmem25","Hepatic_Stellate_Cells","Stellate cells-enriched"
"phldb1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"treh","Hepatocyte_5","Hepatocyte-enriched"
"hyou1","Plasma_Cells","Immune-enriched"
"hmbs","Erythroid_Cells","Immune-enriched"
"c2cd2l","Central_venous_LSECs","EC-enriched"
"mcam","Central_venous_LSECs","EC-enriched"
"c1qtnf5","Portal_endothelial_Cells","EC-enriched"
"thy1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"arhgef12","Erythroid_Cells","Immune-enriched"
"crtam","alpha-beta_T_Cells","Immune-enriched"
"clmp","Hepatic_Stellate_Cells","Stellate cells-enriched"
"scn3b","Periportal_LSECs","EC-enriched"
"vwa5a","Non-inflammatory_Macrophage","Immune-enriched"
"siae","Hepatocyte_3","Hepatocyte-enriched"
"nrgn","Inflammatory_Macrophage","Immune-enriched"
"vsig2","Cholangiocytes","Cholangiocyte-enriched"
"esam","Central_venous_LSECs","EC-enriched"
"robo4","Central_venous_LSECs","EC-enriched"
"ddx25","Hepatocyte_4","Hepatocyte-enriched"
"cdon","Hepatocyte_4","Hepatocyte-enriched"
"fli1","Periportal_LSECs","EC-enriched"
"adamts15","Hepatic_Stellate_Cells","Stellate cells-enriched"
"jam3","Portal_endothelial_Cells","EC-enriched"
"akr1c4","Hepatocyte_6","Hepatocyte-enriched"
"il15ra","Erythroid_Cells","Immune-enriched"
"il2ra","Non-inflammatory_Macrophage","Immune-enriched"
"rbm17","Hepatocyte_6","Hepatocyte-enriched"
"prkcq","alpha-beta_T_Cells","Immune-enriched"
"itih5","Cholangiocytes","Cholangiocyte-enriched"
"gata3","NK-like_Cells","Immune-enriched"
"echdc3","Hepatocyte_6","Hepatocyte-enriched"
"nudt5","Hepatocyte_6","Hepatocyte-enriched"
"cdc123","Hepatocyte_6","Hepatocyte-enriched"
"cdnf","Hepatocyte_1","Hepatocyte-enriched"
"dclre1c","gamma-delta_T_Cells_2","Immune-enriched"
"trdmt1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vim","Non-inflammatory_Macrophage","Immune-enriched"
"stam","Erythroid_Cells","Immune-enriched"
"mrc1","Central_venous_LSECs","EC-enriched"
"plxdc2","Central_venous_LSECs","EC-enriched"
"prtfdc1","Central_venous_LSECs","EC-enriched"
"apbb1ip","gamma-delta_T_Cells_1","Immune-enriched"
"bambi","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lyzl2","Hepatocyte_1","Hepatocyte-enriched"
"itgb1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"nrp1","Central_venous_LSECs","EC-enriched"
"pard3","Hepatocyte_2","Hepatocyte-enriched"
"fzd8","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ret","Hepatocyte_3","Hepatocyte-enriched"
"cxcl12","Non-inflammatory_Macrophage","Immune-enriched"
"msmb","Hepatocyte_1","Hepatocyte-enriched"
"asah2","Hepatocyte_5","Hepatocyte-enriched"
"prkg1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dkk1","Portal_endothelial_Cells","EC-enriched"
"mbl2","Hepatocyte_1","Hepatocyte-enriched"
"cdk1","Erythroid_Cells","Immune-enriched"
"rtkn2","gamma-delta_T_Cells_2","Immune-enriched"
"jmjd1c","Mature_B_Cells","Immune-enriched"
"sirt1","Non-inflammatory_Macrophage","Immune-enriched"
"pbld","Hepatocyte_2","Hepatocyte-enriched"
"tspan15","Erythroid_Cells","Immune-enriched"
"pcbd1","Hepatocyte_6","Hepatocyte-enriched"
"cdh23","Hepatocyte_6","Hepatocyte-enriched"
"psap","Non-inflammatory_Macrophage","Immune-enriched"
"dnajc9","Erythroid_Cells","Immune-enriched"
"mrps16","Hepatocyte_6","Hepatocyte-enriched"
"plau","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ppif","Hepatocyte_4","Hepatocyte-enriched"
"sftpd","Hepatocyte_5","Hepatocyte-enriched"
"anxa11","gamma-delta_T_Cells_1","Immune-enriched"
"cdhr1","NK-like_Cells","Immune-enriched"
"sncg","Periportal_LSECs","EC-enriched"
"pten","Non-inflammatory_Macrophage","Immune-enriched"
"acta2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fas","alpha-beta_T_Cells","Immune-enriched"
"ifit3","Non-inflammatory_Macrophage","Immune-enriched"
"ifit1","Hepatocyte_6","Hepatocyte-enriched"
"kif20b","gamma-delta_T_Cells_2","Immune-enriched"
"fgfbp3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"hhex","Hepatocyte_6","Hepatocyte-enriched"
"sorbs1","Hepatocyte_4","Hepatocyte-enriched"
"tctn3","Plasma_Cells","Immune-enriched"
"blnk","Mature_B_Cells","Immune-enriched"
"pik3ap1","Non-inflammatory_Macrophage","Immune-enriched"
"morn4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"crtac1","Portal_endothelial_Cells","EC-enriched"
"got1","Hepatocyte_3","Hepatocyte-enriched"
"dnmbp","Hepatocyte_3","Hepatocyte-enriched"
"bloc1s2","Non-inflammatory_Macrophage","Immune-enriched"
"kazald1","Erythroid_Cells","Immune-enriched"
"nfkb2","Mature_B_Cells","Immune-enriched"
"slk","Periportal_LSECs","EC-enriched"
"itprip","Central_venous_LSECs","EC-enriched"
"smndc1","Non-inflammatory_Macrophage","Immune-enriched"
"smc3","gamma-delta_T_Cells_2","Immune-enriched"
"adra2a","Cholangiocytes","Cholangiocyte-enriched"
"vti1a","gamma-delta_T_Cells_1","Immune-enriched"
"casp7","Portal_endothelial_Cells","EC-enriched"
"gfra1","Hepatocyte_2","Hepatocyte-enriched"
"prdx3","Hepatocyte_6","Hepatocyte-enriched"
"grk5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"rgs10","Erythroid_Cells","Immune-enriched"
"bag3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fgfr2","Cholangiocytes","Cholangiocyte-enriched"
"cuzd1","Plasma_Cells","Immune-enriched"
"acadsb","Hepatocyte_2","Hepatocyte-enriched"
"cpxm2","Periportal_LSECs","EC-enriched"
"lhpp","Hepatocyte_4","Hepatocyte-enriched"
"uros","Erythroid_Cells","Immune-enriched"
"adam12","Central_venous_LSECs","EC-enriched"
"mki67","gamma-delta_T_Cells_2","Immune-enriched"
"mgmt","Hepatocyte_6","Hepatocyte-enriched"
"adam8","gamma-delta_T_Cells_1","Immune-enriched"
"prap1","Hepatocyte_6","Hepatocyte-enriched"
"fuom","Hepatocyte_6","Hepatocyte-enriched"
"echs1","Hepatocyte_6","Hepatocyte-enriched"
"cacna1c","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fkbp4","Hepatocyte_3","Hepatocyte-enriched"
"cracr2a","alpha-beta_T_Cells","Immune-enriched"
"ccnd2","Plasma_Cells","Immune-enriched"
"tigar","Plasma_Cells","Immune-enriched"
"fgf23","Central_venous_LSECs","EC-enriched"
"ntf3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vwf","Portal_endothelial_Cells","EC-enriched"
"tnfrsf1a","Portal_endothelial_Cells","EC-enriched"
"ltbr","Hepatocyte_4","Hepatocyte-enriched"
"cd27","Plasma_Cells","Immune-enriched"
"gapdh","Hepatocyte_6","Hepatocyte-enriched"
"acrbp","Inflammatory_Macrophage","Immune-enriched"
"lag3","alpha-beta_T_Cells","Immune-enriched"
"cd4","Central_venous_LSECs","EC-enriched"
"eno2","alpha-beta_T_Cells","Immune-enriched"
"ptpn6","gamma-delta_T_Cells_1","Immune-enriched"
"c1s","Hepatocyte_4","Hepatocyte-enriched"
"c1r","Hepatocyte_4","Hepatocyte-enriched"
"c1rl","Hepatocyte_5","Hepatocyte-enriched"
"rbp5","Hepatocyte_6","Hepatocyte-enriched"
"clstn3","Hepatocyte_4","Hepatocyte-enriched"
"cd163","Non-inflammatory_Macrophage","Immune-enriched"
"clec4a","Inflammatory_Macrophage","Immune-enriched"
"clec4d","Inflammatory_Macrophage","Immune-enriched"
"mfap5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"m6pr","Non-inflammatory_Macrophage","Immune-enriched"
"pzp","Hepatocyte_4","Hepatocyte-enriched"
"klrb1","NK-like_Cells","Immune-enriched"
"cd69","alpha-beta_T_Cells","Immune-enriched"
"klrf1","NK-like_Cells","Immune-enriched"
"clec12a","Inflammatory_Macrophage","Immune-enriched"
"clec1b","Central_venous_LSECs","EC-enriched"
"clec1a","Central_venous_LSECs","EC-enriched"
"clec7a","Inflammatory_Macrophage","Immune-enriched"
"olr1","Inflammatory_Macrophage","Immune-enriched"
"gabarapl1","Erythroid_Cells","Immune-enriched"
"klrd1","gamma-delta_T_Cells_1","Immune-enriched"
"klrk1","gamma-delta_T_Cells_1","Immune-enriched"
"klrc1","NK-like_Cells","Immune-enriched"
"prr4","NK-like_Cells","Immune-enriched"
"mansc1","Periportal_LSECs","EC-enriched"
"hebp1","Erythroid_Cells","Immune-enriched"
"gucy2c","Mature_B_Cells","Immune-enriched"
"st8sia1","alpha-beta_T_Cells","Immune-enriched"
"bcat1","Inflammatory_Macrophage","Immune-enriched"
"med21","Erythroid_Cells","Immune-enriched"
"irak4","NK-like_Cells","Immune-enriched"
"nell2","alpha-beta_T_Cells","Immune-enriched"
"amigo2","Portal_endothelial_Cells","EC-enriched"
"endou","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cacnb3","Portal_endothelial_Cells","EC-enriched"
"gpd1","Hepatocyte_4","Hepatocyte-enriched"
"bin2","gamma-delta_T_Cells_1","Immune-enriched"
"acvrl1","Periportal_LSECs","EC-enriched"
"krt8","Cholangiocytes","Cholangiocyte-enriched"
"krt18","Hepatocyte_6","Hepatocyte-enriched"
"eif4b","Non-inflammatory_Macrophage","Immune-enriched"
"igfbp6","Hepatic_Stellate_Cells","Stellate cells-enriched"
"itgb7","gamma-delta_T_Cells_1","Immune-enriched"
"espl1","gamma-delta_T_Cells_2","Immune-enriched"
"pcbp2","Erythroid_Cells","Immune-enriched"
"tarbp2","Hepatocyte_6","Hepatocyte-enriched"
"calcoco1","Erythroid_Cells","Immune-enriched"
"nfe2","Erythroid_Cells","Immune-enriched"
"itga5","Portal_endothelial_Cells","EC-enriched"
"cd63","Non-inflammatory_Macrophage","Immune-enriched"
"dgka","alpha-beta_T_Cells","Immune-enriched"
"suox","Hepatocyte_3","Hepatocyte-enriched"
"erbb3","Hepatocyte_4","Hepatocyte-enriched"
"myl6b","Periportal_LSECs","EC-enriched"
"rnf41","Mature_B_Cells","Immune-enriched"
"slc39a5","Hepatocyte_4","Hepatocyte-enriched"
"cnpy2","Plasma_Cells","Immune-enriched"
"stat2","Hepatocyte_4","Hepatocyte-enriched"
"apof","Hepatocyte_3","Hepatocyte-enriched"
"lrp1","Hepatocyte_4","Hepatocyte-enriched"
"inhbc","Hepatocyte_5","Hepatocyte-enriched"
"dctn2","Plasma_Cells","Immune-enriched"
"dtx3","gamma-delta_T_Cells_1","Immune-enriched"
"lrig3","Cholangiocytes","Cholangiocyte-enriched"
"ifng","gamma-delta_T_Cells_1","Immune-enriched"
"mdm1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cpm","Non-inflammatory_Macrophage","Immune-enriched"
"ptprb","Portal_endothelial_Cells","EC-enriched"
"ptprr","Portal_endothelial_Cells","EC-enriched"
"tspan8","Cholangiocytes","Cholangiocyte-enriched"
"syt1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ppp1r12a","gamma-delta_T_Cells_1","Immune-enriched"
"cep290","Erythroid_Cells","Immune-enriched"
"kitlg","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dcn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cradd","Hepatocyte_6","Hepatocyte-enriched"
"metap2","Hepatocyte_6","Hepatocyte-enriched"
"lta4h","Inflammatory_Macrophage","Immune-enriched"
"mybpc1","Inflammatory_Macrophage","Immune-enriched"
"stab2","Central_venous_LSECs","EC-enriched"
"hsp90b1","Plasma_Cells","Immune-enriched"
"glt8d2","Periportal_LSECs","EC-enriched"
"txnrd1","Portal_endothelial_Cells","EC-enriched"
"appl2","Non-inflammatory_Macrophage","Immune-enriched"
"ckap4","Plasma_Cells","Immune-enriched"
"selplg","gamma-delta_T_Cells_1","Immune-enriched"
"ung","gamma-delta_T_Cells_2","Immune-enriched"
"mvk","Hepatocyte_3","Hepatocyte-enriched"
"ppp1cc","Erythroid_Cells","Immune-enriched"
"sh2b3","Non-inflammatory_Macrophage","Immune-enriched"
"atxn2","Central_venous_LSECs","EC-enriched"
"brap","gamma-delta_T_Cells_1","Immune-enriched"
"aldh2","Hepatocyte_6","Hepatocyte-enriched"
"erp29","Plasma_Cells","Immune-enriched"
"rbm19","gamma-delta_T_Cells_1","Immune-enriched"
"map1lc3b2","Erythroid_Cells","Immune-enriched"
"nos1","Periportal_LSECs","EC-enriched"
"vsig10","Hepatocyte_1","Hepatocyte-enriched"
"pebp1","Hepatocyte_6","Hepatocyte-enriched"
"prkab1","gamma-delta_T_Cells_1","Immune-enriched"
"cit","gamma-delta_T_Cells_2","Immune-enriched"
"pxn","Portal_endothelial_Cells","EC-enriched"
"pla2g1b","Hepatocyte_2","Hepatocyte-enriched"
"triap1","Hepatocyte_6","Hepatocyte-enriched"
"hnf1a","Hepatocyte_4","Hepatocyte-enriched"
"psmd9","Erythroid_Cells","Immune-enriched"
"bcl7a","Mature_B_Cells","Immune-enriched"
"diablo","Hepatocyte_6","Hepatocyte-enriched"
"zcchc8","Erythroid_Cells","Immune-enriched"
"denr","Hepatocyte_6","Hepatocyte-enriched"
"hip1r","Cholangiocytes","Cholangiocyte-enriched"
"rilpl2","Inflammatory_Macrophage","Immune-enriched"
"scarb1","Hepatocyte_3","Hepatocyte-enriched"
