"protein_name","CellType","enriched"
"pms1","gamma-delta_T_Cells_1","Immune-enriched"
"mstn","Hepatocyte_5","Hepatocyte-enriched"
"inpp1","Portal_endothelial_Cells","EC-enriched"
"casp10","gamma-delta_T_Cells_1","Immune-enriched"
"casp8","gamma-delta_T_Cells_1","Immune-enriched"
"cd28","alpha-beta_T_Cells","Immune-enriched"
"ctla4","alpha-beta_T_Cells","Immune-enriched"
"nrp2","Portal_endothelial_Cells","EC-enriched"
"adam23","alpha-beta_T_Cells","Immune-enriched"
"pikfyve","Non-inflammatory_Macrophage","Immune-enriched"
"map2","Cholangiocytes","Cholangiocyte-enriched"
"rpe","Erythroid_Cells","Immune-enriched"
"ikzf2","gamma-delta_T_Cells_1","Immune-enriched"
"fn1","Hepatocyte_4","Hepatocyte-enriched"
"pecr","Hepatocyte_6","Hepatocyte-enriched"
"igfbp2","Hepatocyte_5","Hepatocyte-enriched"
"dnajb2","Erythroid_Cells","Immune-enriched"
"dnpep","Hepatocyte_6","Hepatocyte-enriched"
"epha4","Periportal_LSECs","EC-enriched"
"scg2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"serpine2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"col4a4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ccl20","Cholangiocytes","Cholangiocyte-enriched"
"psmd1","Erythroid_Cells","Immune-enriched"
"b3gnt7","Cholangiocytes","Cholangiocyte-enriched"
"efhd1","Hepatocyte_2","Hepatocyte-enriched"
"gigyf2","Erythroid_Cells","Immune-enriched"
"inpp5d","NK-like_Cells","Immune-enriched"
"atg16l1","alpha-beta_T_Cells","Immune-enriched"
"sag","Inflammatory_Macrophage","Immune-enriched"
"col6a3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lrrfip1","gamma-delta_T_Cells_2","Immune-enriched"
"scly","Hepatocyte_3","Hepatocyte-enriched"
"ilkap","Erythroid_Cells","Immune-enriched"
"gpc1","Hepatocyte_5","Hepatocyte-enriched"
"agxt","Hepatocyte_6","Hepatocyte-enriched"
"sned1","Central_venous_LSECs","EC-enriched"
"dtymk","gamma-delta_T_Cells_2","Immune-enriched"
"pdcd1","alpha-beta_T_Cells","Immune-enriched"
"chl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cntn4","Cholangiocytes","Cholangiocyte-enriched"
"il5ra","Plasma_Cells","Immune-enriched"
"sumf1","Non-inflammatory_Macrophage","Immune-enriched"
"lrrn1","Plasma_Cells","Immune-enriched"
"setmar","Hepatic_Stellate_Cells","Stellate cells-enriched"
"itpr1","Periportal_LSECs","EC-enriched"
"bhlhe40","Hepatocyte_5","Hepatocyte-enriched"
"tada3","NK-like_Cells","Immune-enriched"
"creld1","Hepatocyte_5","Hepatocyte-enriched"
"prrt3","Hepatocyte_6","Hepatocyte-enriched"
"brk1","Hepatocyte_6","Hepatocyte-enriched"
"ghrl","Mature_B_Cells","Immune-enriched"
"timp4","Periportal_LSECs","EC-enriched"
"fbln2","Portal_endothelial_Cells","EC-enriched"
"btd","Hepatocyte_1","Hepatocyte-enriched"
"tbc1d5","Central_venous_LSECs","EC-enriched"
"satb1","NK-like_Cells","Immune-enriched"
"top2b","NK-like_Cells","Immune-enriched"
"cmc1","NK-like_Cells","Immune-enriched"
"azi2","Inflammatory_Macrophage","Immune-enriched"
"tgfbr2","Central_venous_LSECs","EC-enriched"
"glb1","Hepatocyte_5","Hepatocyte-enriched"
"crtap","Inflammatory_Macrophage","Immune-enriched"
"susd5","Hepatic_Stellate_Cells","Stellate cells-enriched"
"acaa1","Hepatocyte_6","Hepatocyte-enriched"
"rpl14","Hepatocyte_6","Hepatocyte-enriched"
"vipr1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"clec3b","Periportal_LSECs","EC-enriched"
"cdcp1","Non-inflammatory_Macrophage","Immune-enriched"
"lztfl1","Hepatocyte_6","Hepatocyte-enriched"
"tdgf1","Portal_endothelial_Cells","EC-enriched"
"myl3","Hepatocyte_6","Hepatocyte-enriched"
"pth1r","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cspg5","Central_venous_LSECs","EC-enriched"
"cdc25a","Plasma_Cells","Immune-enriched"
"shisa5","gamma-delta_T_Cells_1","Immune-enriched"
"prkar2a","Hepatocyte_2","Hepatocyte-enriched"
"dag1","Hepatocyte_3","Hepatocyte-enriched"
"mst1","Hepatocyte_4","Hepatocyte-enriched"
"sema3f","Portal_endothelial_Cells","EC-enriched"
"hyal1","Hepatocyte_4","Hepatocyte-enriched"
"manf","Plasma_Cells","Immune-enriched"
"abhd14b","Hepatocyte_6","Hepatocyte-enriched"
"acy1","Hepatocyte_6","Hepatocyte-enriched"
"twf2","Inflammatory_Macrophage","Immune-enriched"
"sema3g","Periportal_LSECs","EC-enriched"
